filename,patchcore_score
Kalor_Canon_2014-12-03_00.12.53 2.jpg,
Suki_Canon_2014-12-03_00.12.41 2.jpg,
Suki_Canon_2014-12-03_00.12.41.jpg,
Kalor_Canon_2014-12-03_00.12.53.jpg,43.657249450683594
Kalor_Canon_2014-12-03_00.12.53.jpg,43.657249450683594
Kalor_Canon_2014-12-03_01.12.31 2.jpg,
Kalor_Canon_2014-12-03_01.12.31.jpg,39.840850830078125
Suki_Canon_2014-12-03_01.12.41 2.jpg,
Suki_Canon_2014-12-03_01.12.41.jpg,
Kalor_Canon_2014-12-03_01.12.31.jpg,39.840850830078125
Kalor_Canon_2014-12-03_02.12.32 2.jpg,
Suki_Canon_2014-12-03_02.12.42 2.jpg,
Suki_Canon_2014-12-03_02.12.42.jpg,
Kalor_Canon_2014-12-03_02.12.32.jpg,33.13975524902344
Kalor_Canon_2014-12-03_02.12.32.jpg,33.13975524902344
Suki_Canon_2014-12-03_08.12.42 2.jpg,
Suki_Canon_2014-12-03_08.12.42.jpg,
Kalor_Canon_2014-12-03_11.13.04.jpg,34.4503288269043
Kalor_Canon_2014-12-03_11.13.04 2.jpg,
Kalor_Canon_2014-12-03_11.13.04.jpg,34.4503288269043
Kalor_Canon_2014-12-03_17.13.05 2.jpg,
Kalor_Canon_2014-12-03_17.13.05.jpg,37.139225006103516
Suki_Canon_2014-12-03_17.13.14 2.jpg,
Suki_Canon_2014-12-03_17.13.14.jpg,
Kalor_Canon_2014-12-03_17.13.05.jpg,37.139225006103516
Suki_Canon_2014-12-03_22.12.42 2.jpg,
Suki_Canon_2014-12-03_22.12.42.jpg,
Suki_Canon_2014-12-04_00.12.41 2.jpg,
Suki_Canon_2014-12-04_00.12.41.jpg,
Suki_Canon_2014-12-04_01.12.41.jpg,
Suki_Canon_2014-12-04_01.12.41 2.jpg,
Kalor_Canon_2014-12-04_05.12.31 2.jpg,
Kalor_Canon_2014-12-04_05.12.31.jpg,43.12190628051758
Kalor_Canon_2014-12-04_05.12.31.jpg,43.12190628051758
Kalor_Canon_2014-12-04_08.12.31 2.jpg,
Suki_Canon_2014-12-04_08.12.41.jpg,
Suki_Canon_2014-12-04_08.12.41 2.jpg,
Kalor_Canon_2014-12-04_08.12.31.jpg,37.39035415649414
Kalor_Canon_2014-12-04_08.12.31.jpg,37.39035415649414
Suki_Canon_2014-12-04_17.13.15.jpg,
Suki_Canon_2014-12-04_17.13.15 2.jpg,
Suki_Canon_2014-12-04_22.12.42 2.jpg,
Suki_Canon_2014-12-04_22.12.42.jpg,
Suki_Canon_2014-12-05_00.12.42 2.jpg,
Suki_Canon_2014-12-05_00.12.42.jpg,
Suki_Canon_2014-12-05_01.12.41 2.jpg,
Suki_Canon_2014-12-05_01.12.41.jpg,
Suki_Canon_2014-12-05_02.12.41.jpg,
Suki_Canon_2014-12-05_02.12.41 2.jpg,
Kalor_Canon_2014-12-05_02.12.31 2.jpg,
Kalor_Canon_2014-12-05_02.12.31.jpg,38.291725158691406
Kalor_Canon_2014-12-05_02.12.31.jpg,38.291725158691406
Suki_Canon_2014-12-05_05.12.41.jpg,
Suki_Canon_2014-12-05_05.12.41 2.jpg,
Suki_Canon_2014-12-05_08.12.42 2.jpg,
Suki_Canon_2014-12-05_08.12.42.jpg,
Suki_Canon_2014-12-05_17.13.15 2.jpg,
Suki_Canon_2014-12-05_17.13.15.jpg,
Suki_Canon_2014-12-05_22.12.42 2.jpg,
Suki_Canon_2014-12-05_22.12.42.jpg,
Suki_Canon_2014-12-05_23.12.42.jpg,
Suki_Canon_2014-12-05_23.12.42 2.jpg,
Suki_Canon_2014-12-06_00.12.42.jpg,
Suki_Canon_2014-12-06_00.12.42 2.jpg,
Kalor_Canon_2014-12-06_01.12.31 2.jpg,
Kalor_Canon_2014-12-06_01.12.31.jpg,38.513980865478516
Suki_Canon_2014-12-06_01.12.41.jpg,
Kalor_Canon_2014-12-06_01.12.31.jpg,38.513980865478516
Suki_Canon_2014-12-06_02.12.42.jpg,
Kalor_Canon_2014-12-06_05.12.31.jpg,33.42347717285156
Suki_Canon_2014-12-06_05.12.41.jpg,
Kalor_Canon_2014-12-06_05.12.31.jpg,33.42347717285156
Suki_Canon_2014-12-06_08.12.42.jpg,
Kalor_Canon_2014-12-06_11.13.04.jpg,36.8771858215332
Kalor_Canon_2014-12-06_11.13.04.jpg,36.8771858215332
Kalor_Canon_2014-12-06_17.13.05.jpg,38.5541877746582
Kalor_Canon_2014-12-06_17.13.05.jpg,38.5541877746582
Kalor_Canon_2014-12-06_22.12.54.jpg,37.559146881103516
Kalor_Canon_2014-12-06_22.12.54.jpg,37.559146881103516
Kalor_Canon_2014-12-06_23.12.53.jpg,44.77483367919922
Kalor_Canon_2014-12-06_23.12.53.jpg,44.77483367919922
Kalor_Canon_2014-12-07_00.12.53.jpg,40.7286491394043
Kalor_Canon_2014-12-07_00.12.53.jpg,40.7286491394043
Kalor_Canon_2014-12-07_01.12.31.jpg,37.813846588134766
Kalor_Canon_2014-12-07_01.12.31.jpg,37.813846588134766
Kalor_Canon_2014-12-07_02.12.31.jpg,40.18887710571289
Kalor_Canon_2014-12-07_02.12.31.jpg,40.18887710571289
Kalor_Canon_2014-12-08_00.12.53.jpg,42.46382141113281
Kalor_Canon_2014-12-08_00.12.53.jpg,42.46382141113281
Kalor_Canon_2014-12-08_11.13.04.jpg,
Kalor_Canon_2014-12-08_11.13.04.jpg,
Kalor_Canon_2014-12-08_17.13.04.jpg,29.630657196044922
Kalor_Canon_2014-12-08_17.13.04.jpg,29.630657196044922
Kalor_Canon_2014-12-09_11.13.04.jpg,
Kalor_Canon_2014-12-09_11.13.04.jpg,
Kalor_Canon_2014-12-09_17.13.05.jpg,33.18183135986328
